"Currency code","Currency","ISO currency code alpha","ISO currency code numeric","Currency name","Currency symbol","Excel formatting string"
"0010","Canadian Dollar","CAD","124","Dollars","$","[$$] #,##0"
"0020","U.S. Dollar","USD","840","Dollars","$","[$$] #,##0"
"0030","Argentinean Peso","ARS","032","Pesos","$","[$$] #,##0"
"0040","Aruba Florin","AWG","533","Guilders (also called Florins)","ƒ","[$ƒ] #,##0"
"0050","Australian Dollar","AUD","036","Dollars","$","[$$] #,##0"
"0060","Austrian Schilling","ATS","040","","","[$ATS] #,##0"
"0070","Barbadian Dollar","BBD","052","Dollars","$","[$$] #,##0"
"0075","St Helena Pound","SHP","654","Pounds","£","[$£] #,##0"
"0080","Belgian Franc","BEF","056","","","[$BEF] #,##0"
"0085","Namibian Sa Rand","ZAR","710","Rand","R","[$R] #,##0"
"0090","Bermudan Dollar","BMD","060","Dollars","$","[$$] #,##0"
"0095","Macedonian Denar","MKD","807","Denars","","[$MKD] #,##0"
"0100","Brazilian Cruzeiro","BRE","","","","[$BRE] #,##0"
"0110","Chinese Ren Min Bi","CNY","156","Yuan Renminbi","¥","[$¥] #,##0"
"0120","Danish Kroner","DKK","208","Kroner","kr","[$kr] #,##0"
"0130","Dutch Guilder","NLG","528","","","[$NLG] #,##0"
"0140","Eastern Caribbean Dollar","XCD","951","Dollars","$","[$$] #,##0"
"0150","Egyptian Pound","EGP","818","Pounds","£","[$£] #,##0"
"0160","UK Pound Sterling","GBP","826","Pounds","£","[$£] #,##0"
"0170","Finnish Markka","FIM","246","","","[$FIM] #,##0"
"0180","French Franc","FRF","250","","","[$FRF] #,##0"
"0190","French Pacific Franc","XPF","953","","","[$XPF] #,##0"
"0200","German Mark","DEM","276","","","[$DEM] #,##0"
"0210","Greek Drachma","GRD","300","","","[$GRD] #,##0"
"0220","Hong Kong Dollar","HKD","344","Dollars","$","[$$] #,##0"
"0230","Indian Rupee","INR","356","Rupees","","[$] #,##0"
"0240","Irish Punt","IEP","372","","","[$IEP] #,##0"
"0250","Israeli Shekel","ILS","376","New Shekels","","[$ILS] #,##0"
"0260","Italian Lira","ITL","380","","","[$ITL] #,##0"
"0270","Jamaican Dollar","JMD","388","Dollars","J$","[$J$] #,##0"
"0280","Japanese Yen","JPY","392","Yen","¥","[$¥] #,##0"
"0290","Kenyan Shilling","KES","404","","","[$KES] #,##0"
"0300","Mexican Peso Old","MXP","","","","[$MXP] #,##0"
"0310","Moroccan Dirham","MAD","504","","","[$MAD] #,##0"
"0320","New Zealander Dollar","NZD","554","Dollars","$","[$$] #,##0"
"0330","Norwegian Krone","NOK","578","Krone","kr","[$kr] #,##0"
"0340","Portuguese Escudo","PTE","620","","","[$PTE] #,##0"
"0350","Scottish Pound","","","","","[$] #,##0"
"0360","Spanish Peseta","ESP","724","","","[$ESP] #,##0"
"0370","Swedish Krona","SEK","752","Kronor","kr","[$kr] #,##0"
"0380","Swiss Franc","CHF","756","Francs","CHF","[$CHF] #,##0"
"0390","Taiwanese Dollar","TWD","901","New Dollars","NT$","[$NT$] #,##0"
"0400","Thai Baht","THB","764","Baht","","[$THB] #,##0"
"0410","Afghani","AFN","971","Afghanis","","[$AFN] #,##0"
"0420","Algerian Dinar","DZD","012","","","[$DZD] #,##0"
"0430","Bangladeshi Taka","BDT","050","","","[$BDT] #,##0"
"0440","Bahraini Dinar","BHD","048","","","[$BHD] #,##0"
"0450","Bahamas Dollar","BSD","044","Dollars","$","[$$] #,##0"
"0460","Belize Dollar","BZD","084","Dollars","BZ$","[$BZ$] #,##0"
"0470","Bolivian Peso","BOB","068","Bolivianos","$b","[$$b] #,##0"
"0480","Botswana Pula","BWP","072","Pulas","P","[$P] #,##0"
"0490","Brunei Dollar","BND","096","Dollars","$","[$$] #,##0"
"0500","Bulgarian Lev","BGN","975","Leva","","[$BGN] #,##0"
"0510","Burmese Kyat","MMK","104","","","[$MMK] #,##0"
"0520","Burundi Franc","BIF","108","","","[$BIF] #,##0"
"0530","Cape Verde Islands Escudo","CVE","132","","","[$CVE] #,##0"
"0540","Cayman Islands Dollar","KYD","136","Dollars","$","[$$] #,##0"
"0550","CFA Franc","XAF","950","","","[$XAF] #,##0"
"0560","Chilean Peso","CLP","152","Pesos","$","[$$] #,##0"
"0580","Columbian Peso","COP","170","Pesos","$","[$$] #,##0"
"0590","Costa Rican Colon","CRC","188","Colón","¢","[$¢] #,##0"
"0600","Cuban Peso","CUP","192","Pesos","","[$CUP] #,##0"
"0610","Cypriot Pound","CYP","196","","","[$CYP] #,##0"
"0620","Czech Kruna","CZK","203","Koruny","Kc","[$Kc] #,##0"
"0630","Djibouti Franc","DJF","262","","","[$DJF] #,##0"
"0640","Dominican Rep. Peso","DOP","214","Pesos","RD$","[$RD$] #,##0"
"0650","Dutch Antilles Guilder","ANG","532","Guilders (also called Florins)","ƒ","[$ƒ] #,##0"
"0660","Ecuador Sucre","ECS","218","","","[$ECS] #,##0"
"0670","El Salvadorian Colon","SVC","222","Colones","$","[$$] #,##0"
"0680","Equatorial Guinean Ekule","GQE","","","","[$GQE] #,##0"
"0690","Ethiopian Bir","ETB","230","","","[$ETB] #,##0"
"0700","Fiji Dollar","FJD","242","Dollars","$","[$$] #,##0"
"0710","Gambian Dalasi","GMD","270","","","[$GMD] #,##0"
"0720","Ghana Cedi","GHC","288","Cedis","¢","[$¢] #,##0"
"0730","Gibraltar Pound","GIP","292","Pounds","£","[$£] #,##0"
"0740","Guinea-Bissau CFA Franc","GWP","624","","","[$GWP] #,##0"
"0750","Guinea Sily","GNE","","","","[$GNE] #,##0"
"0760","Guyana Dollar","GYD","328","Dollars","$","[$$] #,##0"
"0770","Haitian Gourde","HTG","332","","","[$HTG] #,##0"
"0780","Honduran Lempira","HNL","340","Lempiras","L","[$L] #,##0"
"0790","Hungarian Forint","HUF","348","Forint","Ft","[$Ft] #,##0"
"0800","Icelandic Krona","ISK","352","Kronur","kr","[$kr] #,##0"
"0820","Indonesian Rupiah","IDR","360","Rupiahs","Rp","[$Rp] #,##0"
"0830","Iraqi Dinar","IQD","368","","","[$IQD] #,##0"
"0840","Iranian Rial","IRR","364","Rials","","[$IRR] #,##0"
"0850","Irish Pound","IEP","372","","","[$IEP] #,##0"
"0860","Jordanian Dinar","JOD","400","","","[$JOD] #,##0"
"0870","Kuwaiti Dinar","KWD","414","","","[$KWD] #,##0"
"0880","Laotian Kip","LAK","418","Kips","","[$LAK] #,##0"
"0890","Lebanese Pound","LBP","422","Pounds","£","[$£] #,##0"
"0900","Lesotho Maluti","LSL","426","","","[$LSL] #,##0"
"0910","Liberian Dollar","LRD","430","Dollars","$","[$$] #,##0"
"0920","Libyan Dinar","LYD","434","","","[$LYD] #,##0"
"0930","Luxembourg Franc","LUF","442","","","[$LUF] #,##0"
"0940","Madagascan Franc","MGA","450","","","[$MGA] #,##0"
"0950","Madeira Escudo","PTE","620","","","[$PTE] #,##0"
"0960","Malawi Kwacha","MWK","454","","","[$MWK] #,##0"
"0970","Malaysian Ringgit","MYR","458","Ringgits","RM","[$RM] #,##0"
"0980","Mali Franc","XOF","952","","","[$XOF] #,##0"
"0990","Maltese Lira","MTL","470","","","[$MTL] #,##0"
"1000","Mauritanian Ouguiya","MRO","478","","","[$MRO] #,##0"
"1010","Mauritian Rupee","MUR","480","Rupees","","[$MUR] #,##0"
"1020","Mozambique Metical","MZM","508","","","[$MZM] #,##0"
"1030","Nepalese Rupee","NPR","524","Rupees","","[$NPR] #,##0"
"1040","Nicaraguan Cordoba","NIO","558","Cordobas","C$","[$C$] #,##0"
"1060","Omani Rial","OMR","512","Rials","","[$OMR] #,##0"
"1070","Pakistani Rupee","PKR","586","Rupees","","[$PKR] #,##0"
"1080","Panamanian Balboa","PAB","590","Balboa","B/.","[$B/.] #,##0"
"1090","Papua New Guinea Kina","PGK","598","","","[$PGK] #,##0"
"2000","Paraguay Guarani","PYG","600","Guarani","Gs","[$Gs] #,##0"
"2010","Nuevo Sol","PEN","604","Nuevos Soles","S/.","[$S/.] #,##0"
"2020","Philippines Peso","PHP","608","Pesos","Php","[$Php] #,##0"
"2030","Polish Old Zloty","PLZ","616","","","[$PLZ] #,##0"
"2040","Qatari Riyal","QAR","634","Rials","","[$QAR] #,##0"
"2050","Romanian Lei","ROL","642","","","[$ROL] #,##0"
"2060","Rwandan Franc","RWF","646","","","[$RWF] #,##0"
"2070","Sao Tome Dobra","STD","678","","","[$STD] #,##0"
"2080","Saudi Riyal","SAR","682","Riyals","","[$SAR] #,##0"
"2090","Seychelles Rupee","SCR","690","Rupees","","[$SCR] #,##0"
"3000","Singapore Dollar","SGD","702","Dollars","$","[$$] #,##0"
"3010","Solomon Islands Dollar","SBD","090","Dollars","$","[$$] #,##0"
"3020","Somali Shilling","SOS","706","Shillings","S","[$S] #,##0"
"3030","South African Rand","ZAR","710","Rand","R","[$R] #,##0"
"3040","South Korean Won","KRW","410","","","[$KRW] #,##0"
"3050","Soviet Rouble","SUR","","","","[$SUR] #,##0"
"3060","Sri Lankan Rupee","LKR","144","Rupees","","[$LKR] #,##0"
"3070","Sudanese Dinar","SDG","736","","","[$SDG] #,##0"
"3080","Suriname Guilder","SRG","740","","","[$SRG] #,##0"
"3085","Surinamese Dollar","SRD","968","Dollars","$","[$$] #,##0"
"3090","Swazi Lilangeni","SZL","748","","","[$SZL] #,##0"
"4000","Syrian Pound","SYP","760","Pounds","£","[$£] #,##0"
"4010","Tanzanian Shilling","TZS","834","","","[$TZS] #,##0"
"4020","Tonga Pa'anga","TOP","776","","","[$TOP] #,##0"
"4030","Trinidad & Tobago Dollar","TTD","780","Dollars","TT$","[$TT$] #,##0"
"4040","Tunisian Dinar","TND","788","","","[$TND] #,##0"
"4050","Turkish Lira (old)","TRL","792","Liras","£","[$£] #,##0"
"4060","UAE Dirham","AED","784","","","[$AED] #,##0"
"4070","Ugandan Shilling","UGX","800","","","[$UGX] #,##0"
"4080","Uruguay Peso","UYN","","","","[$UYN] #,##0"
"4090","Vatu Vanuatu","VUV","548","","","[$VUV] #,##0"
"5000","Venezuelan Bolivar","VEB","862","","","[$VEB] #,##0"
"5005","Venezuelan Bolívar Fuerte","VEF","937","Bolivares Fuertes","Bs","[$Bs] #,##0"
"5010","Vietnamese Dong","VND","704","Dong","","[$VND] #,##0"
"5020","Yemenese Riyal","YER","886","Rials","","[$YER] #,##0"
"5030","Western Samoa Tala","WST","882","","","[$WST] #,##0"
"5040","West Indian Dollar","BWI","","","","[$BWI] #,##0"
"5050","Yugoslavian Dinar","CSD","891","","","[$CSD] #,##0"
"5060","Zambian Kwacha","ZMK","894","","","[$ZMK] #,##0"
"5070","Zimbabwe Dollar","ZWD","716","Zimbabwe Dollars","Z$","[$Z$] #,##0"
"5080","Euro","EUR","978","Euro","€","[$€] #,##0"
"5090","Angolan Kwanza","AOA","973","","","[$AOA] #,##0"
"6000","Sierra Leone Leone","SLL","694","","","[$SLL] #,##0"
"6010","Ostmarks","DDM","278","","","[$DDM] #,##0"
"6020","Yemenese Dinar","YDD","720","","","[$YDD] #,##0"
"6030","Zaire","CDF","976","","","[$CDF] #,##0"
"6040","Uruguayan New Peso","UYU","858","Pesos","$U","[$$U] #,##0"
"6050","Georgian Lari","GEL","981","","","[$GEL] #,##0"
"6060","Ukrainian Hryvna","UAH","980","Hryvnia","","[$UAH] #,##0"
"6100","Bhutan Ngultrum","BTN","064","","","[$BTN] #,##0"
"6200","Guatemala Quetzal","GTQ","320","Quetzales","Q","[$Q] #,##0"
"6300","Cambodian Riel","KHR","116","Riels","","[$KHR] #,##0"
"6400","North Korean Won","KPW","408","","","[$KPW] #,##0"
"6500","Maldives Rufiyaa","MVR","462","","","[$MVR] #,##0"
"6600","Nigerian Naira","NGN","566","Nairas","","[$NGN] #,##0"
"6800","Croatian Kuna","HRK","191","Kuna","kn","[$kn] #,##0"
"6900","Falkland Pound","FKP","238","Pounds","£","[$£] #,##0"
"7000","French Guiana Franc","FRF","250","","","[$FRF] #,##0"
"7100","Guadeloupe Franc","FRF","250","","","[$FRF] #,##0"
