"SIC87_4","Desc_4_Digit","SIC87_2","Desc_2_Digit","SIC87_1","Desc_1_Digit"
"0111","Wheat","01","Agricultural production- crops","A","Agriculture, Forestry, And Fishing"
"0112","Rice","01","Agricultural production- crops","A","Agriculture, Forestry, And Fishing"
"0115","Corn","01","Agricultural production- crops","A","Agriculture, Forestry, And Fishing"
"0116","Soybeans","01","Agricultural production- crops","A","Agriculture, Forestry, And Fishing"
"0119","Cash Grains, NEC","01","Agricultural production- crops","A","Agriculture, Forestry, And Fishing"
"0131","Cotton","01","Agricultural production- crops","A","Agriculture, Forestry, And Fishing"
"0132","Tobacco","01","Agricultural production- crops","A","Agriculture, Forestry, And Fishing"
"0133","Sugarcane and Sugar Beets","01","Agricultural production- crops","A","Agriculture, Forestry, And Fishing"
"0134","Irish Potatoes","01","Agricultural production- crops","A","Agriculture, Forestry, And Fishing"
"0139","Field Crops, Except Cash Grains, NEC","01","Agricultural production- crops","A","Agriculture, Forestry, And Fishing"
"0161","Vegetables and Melons","01","Agricultural production- crops","A","Agriculture, Forestry, And Fishing"
"0171","Berry Crops","01","Agricultural production- crops","A","Agriculture, Forestry, And Fishing"
"0172","Grapes","01","Agricultural production- crops","A","Agriculture, Forestry, And Fishing"
"0173","Tree Nuts","01","Agricultural production- crops","A","Agriculture, Forestry, And Fishing"
"0174","Citrus Fruits","01","Agricultural production- crops","A","Agriculture, Forestry, And Fishing"
"0175","Deciduous Tree Fruits","01","Agricultural production- crops","A","Agriculture, Forestry, And Fishing"
"0179","Fruits and Tree Nuts, NEC","01","Agricultural production- crops","A","Agriculture, Forestry, And Fishing"
"0181","Ornamental Floriculture and Nursery Products","01","Agricultural production- crops","A","Agriculture, Forestry, And Fishing"
"0182","Food Crops Grown Under Cover","01","Agricultural production- crops","A","Agriculture, Forestry, And Fishing"
"0191","General Farms, Primarily Crop","01","Agricultural production- crops","A","Agriculture, Forestry, And Fishing"
"0211","Beef Cattle Feedlots","02","Agricultural production- livestock","A","Agriculture, Forestry, And Fishing"
"0212","Beef Cattle, Except Feedlots","02","Agricultural production- livestock","A","Agriculture, Forestry, And Fishing"
"0213","Hogs","02","Agricultural production- livestock","A","Agriculture, Forestry, And Fishing"
"0214","Sheep and Goats","02","Agricultural production- livestock","A","Agriculture, Forestry, And Fishing"
"0219","General Livestock,  Except Dairy and Poultry","02","Agricultural production- livestock","A","Agriculture, Forestry, And Fishing"
"0241","Dairy Farms","02","Agricultural production- livestock","A","Agriculture, Forestry, And Fishing"
"0251","Broiler, Fryers, and Roaster Chickens","02","Agricultural production- livestock","A","Agriculture, Forestry, And Fishing"
"0252","Chicken Eggs","02","Agricultural production- livestock","A","Agriculture, Forestry, And Fishing"
"0253","Turkey and Turkey Eggs","02","Agricultural production- livestock","A","Agriculture, Forestry, And Fishing"
"0254","Poultry Hatcheries","02","Agricultural production- livestock","A","Agriculture, Forestry, And Fishing"
"0259","Poultry and Eggs, NEC","02","Agricultural production- livestock","A","Agriculture, Forestry, And Fishing"
"0271","Fur-Bearing Animals and Rabbits","02","Agricultural production- livestock","A","Agriculture, Forestry, And Fishing"
"0272","Horses and Other Equines","02","Agricultural production- livestock","A","Agriculture, Forestry, And Fishing"
"0273","Animal Aquaculture","02","Agricultural production- livestock","A","Agriculture, Forestry, And Fishing"
"0279","Animal Specialities, NEC","02","Agricultural production- livestock","A","Agriculture, Forestry, And Fishing"
"0291","General Farms, Primarily Livestock and Animal","02","Agricultural production- livestock","A","Agriculture, Forestry, And Fishing"
"0711","Soil Preparation Services","07","Agricultural services","A","Agriculture, Forestry, And Fishing"
"0721","Crop Planting, Cultivating, and Protecting","07","Agricultural services","A","Agriculture, Forestry, And Fishing"
"0722","Crop Harvesting, Primarily by Machine","07","Agricultural services","A","Agriculture, Forestry, And Fishing"
"0723","Crop Preparation Services For Market, except","07","Agricultural services","A","Agriculture, Forestry, And Fishing"
"0724","Cotton Ginning","07","Agricultural services","A","Agriculture, Forestry, And Fishing"
"0741","Veterinary Services For Livestock","07","Agricultural services","A","Agriculture, Forestry, And Fishing"
"0742","Veterinary Services for Animal Specialties","07","Agricultural services","A","Agriculture, Forestry, And Fishing"
"0751","Livestock Services, Except Veterinary","07","Agricultural services","A","Agriculture, Forestry, And Fishing"
"0752","Animal Specialty Services, Except Veterinary","07","Agricultural services","A","Agriculture, Forestry, And Fishing"
"0761","Farm Labor Contractors and Crew Leaders","07","Agricultural services","A","Agriculture, Forestry, And Fishing"
"0762","Farm Management Services","07","Agricultural services","A","Agriculture, Forestry, And Fishing"
"0781","Landscape Counseling and Planning","07","Agricultural services","A","Agriculture, Forestry, And Fishing"
"0782","Lawn and Garden Services","07","Agricultural services","A","Agriculture, Forestry, And Fishing"
"0783","Ornamental Shrub and Tree Services","07","Agricultural services","A","Agriculture, Forestry, And Fishing"
"0811","Timber Tracts","08","Forestry","A","Agriculture, Forestry, And Fishing"
"0831","Forest Nurseries and Gathering of Forest","08","Forestry","A","Agriculture, Forestry, And Fishing"
"0851","Forestry Services","08","Forestry","A","Agriculture, Forestry, And Fishing"
"0912","Finfish","09","Fishing, hunting, and trapping","A","Agriculture, Forestry, And Fishing"
"0913","Shellfish","09","Fishing, hunting, and trapping","A","Agriculture, Forestry, And Fishing"
"0919","Miscellaneous Marine Products","09","Fishing, hunting, and trapping","A","Agriculture, Forestry, And Fishing"
"0921","Fish Hatcheries and Preserves","09","Fishing, hunting, and trapping","A","Agriculture, Forestry, And Fishing"
"0971","Hunting and Trapping, and Game Propagation","09","Fishing, hunting, and trapping","A","Agriculture, Forestry, And Fishing"
"1011","Iron Ores","10","Metal mining","B","Mining"
"1021","Copper Ores","10","Metal mining","B","Mining"
"1031","Lead and Zinc Ores","10","Metal mining","B","Mining"
"1041","Gold Ores","10","Metal mining","B","Mining"
"1044","Silver Ores","10","Metal mining","B","Mining"
"1061","Ferroalloy Ores, Except Vanadium","10","Metal mining","B","Mining"
"1081","Metal Mining Services","10","Metal mining","B","Mining"
"1094","Uranium-Radium-Vanadium Ores","10","Metal mining","B","Mining"
"1099","Miscellaneous Metal Ores, NEC","10","Metal mining","B","Mining"
"1221","Bituminous Coal and Lignite Surface Mining","12","Coal mining","B","Mining"
"1222","Bituminous Coal Underground Mining","12","Coal mining","B","Mining"
"1231","Anthracite Mining","12","Coal mining","B","Mining"
"1241","Coal Mining Services","12","Coal mining","B","Mining"
"1311","Crude Petroleum and Natural Gas","13","Oil and gas extraction","B","Mining"
"1321","Natural Gas Liquids","13","Oil and gas extraction","B","Mining"
"1381","Drilling Oil and Gas Wells","13","Oil and gas extraction","B","Mining"
"1382","Oil and Gas Field Exploration Services","13","Oil and gas extraction","B","Mining"
"1389","Oil and Gas Field Services, NEC","13","Oil and gas extraction","B","Mining"
"1411","Dimension Stone","14","Nonmetallic minerals, except fuels","B","Mining"
"1422","Crushed and Broken Limestone","14","Nonmetallic minerals, except fuels","B","Mining"
"1423","Crushed and Broken Granite","14","Nonmetallic minerals, except fuels","B","Mining"
"1429","Crushed and Broken Stone, NEC","14","Nonmetallic minerals, except fuels","B","Mining"
"1442","Construction Sand and Gravel","14","Nonmetallic minerals, except fuels","B","Mining"
"1446","Industrial Sand","14","Nonmetallic minerals, except fuels","B","Mining"
"1455","Kaolin and Ball Clay","14","Nonmetallic minerals, except fuels","B","Mining"
"1459","Clay, Ceramic, and Refractory Minerals, NEC","14","Nonmetallic minerals, except fuels","B","Mining"
"1474","Potash, Soda, and Borate Minerals","14","Nonmetallic minerals, except fuels","B","Mining"
"1475","Phosphate Rock","14","Nonmetallic minerals, except fuels","B","Mining"
"1479","Chemical and Fertilizer Mineral Mining, NEC","14","Nonmetallic minerals, except fuels","B","Mining"
"1481","Nonmetallic Minerals Services Except Fuels","14","Nonmetallic minerals, except fuels","B","Mining"
"1499","Miscellaneous Nonmetallic Minerals, Except","14","Nonmetallic minerals, except fuels","B","Mining"
"1521","General Contractors-Single-Family Houses","15","General building contractors","C","Construction"
"1522","General Contractors-Residential Buildings,","15","General building contractors","C","Construction"
"1531","Operative Builders","15","General building contractors","C","Construction"
"1541","General Contractors-Industrial Buildings and","15","General building contractors","C","Construction"
"1542","General Contractors-Nonresidential Buildings,","15","General building contractors","C","Construction"
"1611","Highway and Street Construction, Except","16","Heavy construction contractors","C","Construction"
"1622","Bridge, Tunnel, and Elevated Highway","16","Heavy construction contractors","C","Construction"
"1623","Water, Sewer, Pipeline, and Communications","16","Heavy construction contractors","C","Construction"
"1629","Heavy Construction, NEC","16","Heavy construction contractors","C","Construction"
"1711","Plumbing, Heating, and Air-Conditioning","17","Special trade contractors","C","Construction"
"1721","Painting and Paper Hanging","17","Special trade contractors","C","Construction"
"1731","Electrical Work","17","Special trade contractors","C","Construction"
"1741","Masonry, Stone Setting, and Other Stone Work","17","Special trade contractors","C","Construction"
"1742","Plastering, Drywall, Acoustical, and","17","Special trade contractors","C","Construction"
"1743","Terrazzo, Tile, Marble, and Mosaic Work","17","Special trade contractors","C","Construction"
"1751","Carpentry Work","17","Special trade contractors","C","Construction"
"1752","Floor Laying and Other Floor Work, NEC","17","Special trade contractors","C","Construction"
"1761","Roofing, Siding, and Sheet Metal Work","17","Special trade contractors","C","Construction"
"1771","Concrete Work","17","Special trade contractors","C","Construction"
"1781","Water Well Drilling","17","Special trade contractors","C","Construction"
"1791","Structural Steel Erection","17","Special trade contractors","C","Construction"
"1793","Glass and Glazing Work","17","Special trade contractors","C","Construction"
"1794","Excavation Work","17","Special trade contractors","C","Construction"
"1795","Wrecking and Demolition Work","17","Special trade contractors","C","Construction"
"1796","Installation or Erection of Building","17","Special trade contractors","C","Construction"
"1799","Special Trade Contractors, NEC","17","Special trade contractors","C","Construction"
"2011","Meat Packing Plants","20","Food and kindred products","D","Manufacturing"
"2013","Sausages and Other Prepared Meats","20","Food and kindred products","D","Manufacturing"
"2015","Poultry Slaughtering and Processing","20","Food and kindred products","D","Manufacturing"
"2021","Creamery Butter","20","Food and kindred products","D","Manufacturing"
"2022","Natural, Processed, and Imitation Cheese","20","Food and kindred products","D","Manufacturing"
"2023","Dry, Condensed, and Evaporated Dairy Products","20","Food and kindred products","D","Manufacturing"
"2024","Ice Cream and Frozen Desserts","20","Food and kindred products","D","Manufacturing"
"2026","Fluid Milk","20","Food and kindred products","D","Manufacturing"
"2032","Canned Specialties","20","Food and kindred products","D","Manufacturing"
