"National ID code","Description"
"00001","INDIVIDUAL IDENTIFIER"
"00010","BELGIUM ENTERPRISE NUMBER "
"00012","UK CRO NUMBER"
"00013","IRELAND CRO NUMBER"
"00014","FRANCE SIREN NUMBER"
"00015","US SOCIAL SECURITY NUMBER"
"00016","MONTE CARLO SIREN NUMBER"
"00017","FRANCE SIRET NUMBER"
"00018","EUROPE STANDARD VAT NUMBER"
"00019","NETHERLAND CHAMBER OF COMMERCE NUMBER"
"00020","GERMANY REGISTRATION NUMBER"
"00021","ITALY CHAMBER OF COMMERCE NUMBER"
"00022","TAIWAN BUSINESS REGISTRATION NUMBER"
"00024","SPAIN FISCAL CODE"
"00025","ANDORRA FISCAL CODE"
"00026","PORTUGAL FISCAL CODE"
"00030","CUSIP NUMBER"
"00031","AUSTRALIA COMPANY NUMBER"
"00032","SINGAPORE REGISTRATION FILE NUMBER"
"00033","HONG KONG CO REGISTRY COMPANY ID NUMBER"
"00034","CINS NUMBER"
"00035","PANAMANIAN SOLE COMMERCIAL REGISTRY NBR"
"00036","PORTUGAL CHAMBER OF COMMERCE NUMBER"
"00040","MEXICO IVA"
"00042","BUN (Branch Unit Number)"
"00043","RSIN (Legal entities and Partnerships Information Number)"
"00045","ISRAEL REGISTRATION NUMBER"
"00050","ISRAEL VAT NUMBER"
"00055","LIECHTENSTEIN REGISTRATION NUMBER"
"00060","ITALY FISCAL CODE"
"00065","DENMARK REGISTRATION NUMBER"
"00070","AUSTRIA TRADE REGISTER NUMBER"
"00075","ZIMBABWE ORGANIZATION REGISTRATION NBR"
"00080","ZIMBABWE INDIVIDUAL REGISTRATION NBR"
"00090","GUATEMALAN SOLE COMMERCIAL REGISTRY NBR"
"00095","COLOMBIAN REGISTRY OF FISCAL INFO"
"00100","TOKYO SHOKO RESEARCH BUSINESS IDENTIFIER"
"00102","EMC ENTERED REGISTRATION NUMBER"
"00103","EMC ENTERED TAX REGISTRATION NBR"
"00104","EMC ENTERED CHAMBER OF COMMERCE NBR"
"00105","EMC GOVERNMENT GAZETTE NBR"
"00106","SWEDEN REGISTRATION NUMBER"
"00107","FINNISH REGISTRATION NUMBER"
"00108","COSTA RICAN JUDICIAL NUMBER"
"00109","EL SALVADORAN PATRON"
"00110","HUNGARIAN TAX IDENTIFIER"
"00111","SWEDEN BRANCH NUMBER"
"00112","JAMAICAN TAX IDENTIFICATION NUMBER"
"00113","TRINIDADIAN TAX IDENTIFICATION NUMBER"
"00115","DOMINICAN REPUBLIC NATIONAL COMMERCIAL REGISTRY NUMBER"
"00119","PERUVIAN SOLE COMMERCIAL REGISTRY NUMBER"
"00120","HUNGARIAN REGISTRATION NUMBER"
"00122","East Timor Tax Identification Number"
"00125","VENEZUELAN NATIONAL TRIBUTARY ID NUMBER"
"00127","NICARAGUAN SOLE COMMERCIAL REGISTRY NBR"
"00130","POLISH TAX IDENTIFIER"
"00135","COSTA RICAN TAX REGISTRATION NUMBER"
"00140","POLISH REGISTRATION NUMBER"
"00145","COLOMBIAN NATIONAL TRUBUTARY ID NUMBER"
"00155","EL SALVADORAN NATIONAL TRIBUTARY ID NBR"
"00165","BOLIVIAN SOLE COMMERCIAL REGISTRY NUMBER"
"00175","ECUADORIAN SOLE COMMERCIAL REGISTRY NBR"
"00185","SOLE COMMERCIAL REGISTRY NBR UNK CTRY"
"00195","NATIONAL TRIBUTARY ID NUMBER UNK COUNTRY"
"00200","ARGENTINIAN UNIQUE TAX ID KEY"
"00210","PARAGUAYAN UNIQUE TAX REGISTRATION"
"00211","BRAZILIAN STATE REGISTRY NUMBER"
