"Abbreviation","State-Province Name","WB country"
"AB","Alberta","121"
"AK","Alaska","805"
"AL","Alabama","805"
"AR","Arkansas","805"
"AZ","Arizona","805"
"BC","British Columbia","121"
"CA","California","805"
"CO","Colarado","805"
"CT","Connecticut","805"
"DC","District of Columbia","805"
"DE","Delaware","805"
"FL","Florida","805"
"GA","Georgia","805"
"HI","Hawaii","805"
"IA","Iowa","805"
"ID","Idaho","805"
"IL","Illinois","805"
"IN","Indiana","805"
"KS","Kansas","805"
"KY","Kentucky","805"
"LA","Louisiana","805"
"MA","Massachusetts","805"
"MB","Manitoba","121"
"MD","Maryland","805"
"ME","Maine","805"
"MI","Michigan","805"
"MN","Minnesota","805"
"MO","Missouri","805"
"MS","Mississippi","805"
"MT","Montana","805"
"NB","New Brunswick","121"
"NC","North Carolina","805"
"ND","North Dakota","805"
"NE","Nebraska","805"
"NF","Newfoundland","121"
"NH","New Hampshire","805"
"NJ","New Jersey","805"
"NM","New Mexico","805"
"NS","Nova Scotia","121"
"NT","Northwest Territories","121"
"NU","Nunavut","121"
"NV","Nevada","805"
"NY","New York","805"
"OH","Ohio","805"
"OK","Oklahoma","805"
"ON","Ontario","121"
"OR","Oregon","805"
"PA","Pennsylvania","805"
"PE","Prince Edward Island","121"
"PQ","Quebec","121"
"PR","Puerto Rico","805"
"RI","Rhode Island","805"
"SC","South Carolina","805"
"SD","South Dakota","805"
"SK","Saskatchewan","121"
"TN","Tennessee","805"
"TX","Texas","805"
"UT","Utah","805"
"VA","Virginia","805"
"VI","Virgin Islands","805"
"VT","Vermont","805"
"WA","Washington","805"
"WI","Wisconsin","805"
"WV","West Virginia","805"
"WY","Wyoming","805"
"YK","Yukon","121"
